path,origin,classification,reason,replacement
".kiro/specs/analisi-implementazione-tipi-orto/ANALISI_CICLO_VITA.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/analisi-implementazione-tipi-orto/ANALISI_OPERAZIONI_IDROPONICHE.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/analisi-implementazione-tipi-orto/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/analisi-implementazione-tipi-orto/PIANO_IMPLEMENTAZIONE.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/analisi-implementazione-tipi-orto/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/analisi-implementazione-tipi-orto/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/authentication-security-improvements/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/authentication-security-improvements/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/authentication-security-improvements/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/crop-rotation-ai-system/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/crop-rotation-ai-system/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/crop-rotation-ai-system/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/field-rows-ai-system-integration/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/field-rows-ai-system-integration/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/field-rows-ai-system-integration/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/onboarding-fix/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/onboarding-fix/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/onboarding-fix/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/precision-agriculture-evolution.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/predictive-orchestrator/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/predictive-orchestrator/README.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/predictive-orchestrator/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/predictive-orchestrator/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/tuya-iot-integration/design.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/tuya-iot-integration/requirements.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
".kiro/specs/tuya-iot-integration/tasks.md","tracked","delete","piano report o specifica integralmente assorbita","docs/reports/execution-plans/ORTOMIO_PIANO_ESECUTIVO_COMPLETAMENTO_2026-07-16.md"
"ACTION_BUTTONS_INTEGRATION_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ACTION_BUTTONS_INTEGRATION_FASE1B_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ACTIVE_AI_ADVICE_IMPLEMENTATION_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ACTIVITY_REGISTRY_AGRONOMIST_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ADD_ITEM_MODAL_WIZARD_FIX_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ADVANCED_COMPONENTS_COMPLETE_JAN19.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ADVANCED_FEATURES_TAB_FIX_JAN19.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ADVICE_HEALTH_PAGES_FIX_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
"ADVICE_INDIVIDUAL_PLANTS_INTEGRATION_COMPLETE.md","tracked","delete","report sessione commit deploy o duplicato storico in root","MASTERDOC.md"
